step,mission_time_s,phase,phase_elapsed_s,endpoint_hold_s,settle30_s,hover9_s,landed_hold_s,wow,compression_ft,obs_raw_0,obs_norm_0,obs_raw_1,obs_norm_1,obs_raw_2,obs_norm_2,obs_raw_3,obs_norm_3,obs_raw_4,obs_norm_4,obs_raw_5,obs_norm_5,obs_raw_6,obs_norm_6,obs_raw_7,obs_norm_7,obs_raw_8,obs_norm_8,obs_raw_9,obs_norm_9,obs_raw_10,obs_norm_10,obs_raw_11,obs_norm_11,obs_raw_12,obs_norm_12,obs_raw_13,obs_norm_13,obs_raw_14,obs_norm_14,obs_raw_15,obs_norm_15,obs_raw_16,obs_norm_16,obs_raw_17,obs_norm_17,obs_raw_18,obs_norm_18,obs_raw_19,obs_norm_19,obs_raw_20,obs_norm_20,obs_raw_21,obs_norm_21,obs_raw_22,obs_norm_22,obs_raw_23,obs_norm_23,obs_raw_24,obs_norm_24,obs_raw_25,obs_norm_25,student_action_norm_0,student_action_phys_0,student_action_norm_1,student_action_phys_1,student_action_norm_2,student_action_phys_2,student_action_norm_3,student_action_phys_3,forward_ft,position_error_ft,cross_track_ft,altitude_ft,forward_speed_fps,lateral_speed_fps,mission_ground_forward_speed_fps,mission_ground_cross_speed_fps,vertical_speed_fps,heading_error_rad,heading_error_deg,pitch_rad,roll_rad,roll_rate_rad_s,pitch_rate_rad_s,yaw_rate_rad_s,rotor_rpm,physical_collective_cmd,physical_elevator_cmd,physical_aileron_cmd,physical_rudder_cmd
0,0.075,pre_descent_hold,0.075,0.0,0.0,0.0,0.0,0,0.0,299.2548828125,2.125256299972534,2.6207904738839716e-05,1.1372250318527222,5.96514892578125,4.739374160766602,0.889361560344696,12.243558883666992,2.039858102798462,1.8618762493133545,-0.08943746984004974,-0.22182705998420715,0.0021002241410315037,1.4346810579299927,0.9999977946281433,-0.002205371856689453,-0.004709775559604168,2.0247113704681396,-0.05028582364320755,-0.7084103226661682,9.159723413176835e-05,0.078286312520504,-8.494913345202804e-05,-0.0812256783246994,-0.00010047192336060107,-0.08473936468362808,323.4549255371094,-3.6066782474517822,0.6059519648551941,1.047492265701294,-0.1788564920425415,0.8498578667640686,0.18979071080684662,-0.4795936644077301,0.3901387155056,0.2797245979309082,0.0,-0.09219713509082794,0.0,-0.008966379798948765,1.0,8.46691608428955,0.0,-1.0150412321090698,0.0,-0.452338308095932,0.0,-0.4575769305229187,0.0,-0.3821747899055481,0.0,-0.09219713509082794,1.0,0.6069999933242798,0.2291983962059021,-0.1799270063638687,-0.10131210088729858,0.18988557159900665,0.13465261459350586,0.39013466238975525,294.1014211278392,5.898578872160783,2.0332056452784726,299.2549362243849,0.8856446233816704,-0.09097371658337675,0.8858528036463738,-0.08954111924821831,0.001908339837128934,0.00209293823503387,0.11991652764900028,-0.004713953176276659,-0.050279953181441364,4.336341195536788e-05,3.3627912237245624e-05,-9.682667958292933e-05,323.4535708633208,0.6069999933242798,-0.1799270063638687,0.18988557159900665,0.39013466238975525
1,0.15,pre_descent_hold,0.15,0.0,0.0,0.0,0.0,0,0.0,299.25494384765625,2.1252570152282715,0.0019083397928625345,1.141587734222412,5.898578643798828,4.681594371795654,0.8856446146965027,12.19212818145752,2.03320574760437,1.8562731742858887,-0.09097371995449066,-0.227480947971344,0.002092936774715781,1.4322571754455566,0.9999977946281433,-0.002205371856689453,-0.004713953007012606,2.020534038543701,-0.050279952585697174,-0.7066485285758972,4.3363412260077894e-05,0.030052490532398224,3.3627911761868745e-05,0.03735136240720749,-9.68266831478104e-05,-0.08109412342309952,323.4535827636719,-3.61560320854187,0.6069999933242798,1.101588249206543,-0.1799270063638687,-0.2206563800573349,0.18988557159900665,-0.4554409682750702,0.39013466238975525,0.27567148208618164,0.0,-0.09219713509082794,0.0,-0.008966379798948765,1.0,8.46691608428955,0.0,-1.0150412321090698,0.0,-0.452338308095932,0.0,-0.4575769305229187,0.0,-0.3821747899055481,0.0,-0.09219713509082794,0.993430495262146,0.6067667603492737,0.20143140852451324,-0.17999641597270966,-0.10653865337371826,0.1898280829191208,0.13732613623142242,0.39013731479644775,294.16770677752055,5.83229322247945,2.026427478667872,299.25520499690265,0.8818209188135306,-0.09249065816885549,0.88204789601032,-0.09124304868022783,0.005298331476037858,0.0020863534983099896,0.11953925002551714,-0.0047053072012699275,-0.05027930613339564,-2.7553002536619473e-05,0.00021211278799851928,-5.728671832344936e-05,323.4511513529624,0.6067667603492737,-0.17999641597270966,0.1898280829191208,0.39013731479644775
2,0.22499999999999998,pre_descent_hold,0.22499999999999998,0.0,0.0,0.0,0.0,0,0.0,299.2552185058594,2.1252598762512207,0.005298331379890442,1.1494455337524414,5.8322930335998535,4.624061584472656,0.8818209171295166,12.139220237731934,2.0264275074005127,1.8505641222000122,-0.09249065816402435,-0.23306377232074738,0.002086352091282606,1.4300673007965088,0.9999977946281433,-0.002205371856689453,-0.004705307073891163,2.0291800498962402,-0.05027930438518524,-0.7064539790153503,-2.7553001928026788e-05,-0.040863923728466034,0.00021211279090493917,0.21583624184131622,-5.728671749238856e-05,-0.04155415669083595,323.4511413574219,-3.6318304538726807,0.6067667603492737,1.0895494222640991,-0.17999641597270966,-0.2900660037994385,0.1898280829191208,-0.4700782895088196,0.39013731479644775,0.2783238887786865,0.0,-0.09219713509082794,0.0,-0.008966379798948765,1.0,8.46691608428955,0.0,-1.0150412321090698,0.0,-0.452338308095932,0.0,-0.4575769305229187,0.0,-0.3821747899055481,0.0,-0.09219713509082794,0.977258026599884,0.6061926484107971,0.19958515465259552,-0.18000103533267975,-0.10668641328811646,0.18982645869255066,0.1373596489429474,0.39013737440109253,294.23370899261727,5.766291007382733,2.019520892478284,299.2557107034131,0.8780766410385465,-0.09406241816984834,0.8783188628566225,-0.09295677145626771,0.007902598369934712,0.0020831307338320393,0.1193545992225659,-0.004686203732527666,-0.05028158658772403,-1.5931654334877555e-05,0.0002924087633656954,3.594265158070732e-06,323.4505450413716,0.6061926484107971,-0.18000103533267975,0.18982645869255066,0.39013737440109253
3,0.3,pre_descent_hold,0.3,0.0,0.0,0.0,0.0,0,0.0,299.2557067871094,2.125264883041382,0.00790259800851345,1.1554820537567139,5.76629114151001,4.566775321960449,0.8780766129493713,12.087410926818848,2.0195209980010986,1.8447470664978027,-0.09406241774559021,-0.23884835839271545,0.0020831292495131493,1.4289952516555786,0.9999978542327881,-0.0021457672119140625,-0.00468620378524065,2.048283338546753,-0.0502815879881382,-0.707139253616333,-1.5931655070744455e-05,-0.02924257516860962,0.00029240877483971417,0.2961322069168091,3.5942650811193744e-06,0.019326822832226753,323.4505310058594,-3.6358871459960938,0.6061926484107971,1.059915542602539,-0.18000103533267975,-0.29468536376953125,0.18982645869255066,-0.47049182653427124,0.39013737440109253,0.2783834934234619,0.0,-0.09219713509082794,0.0,-0.008966379798948765,1.0,8.46691608428955,0.0,-1.0150412321090698,0.0,-0.452338308095932,0.0,-0.4575769305229187,0.0,-0.3821747899055481,0.0,-0.09219713509082794,0.9715346097946167,0.6059894561767578,0.19955800473690033,-0.18000110983848572,-0.10595175623893738,0.18983453512191772,0.13727116584777832,0.39013728499412537,294.29943311304146,5.700566886958541,2.012486638218468,299.25635827082215,0.8743793977246395,-0.09568162542731086,0.8746308152131107,-0.09464683141229331,0.009169489622581689,0.002084010041621731,0.11940497984780822,-0.0046637156344720805,-0.050281144356133345,3.1482114410073234e-05,0.00029839582898106567,5.126659392553979e-05,323.45187721604293,0.6059894561767578,-0.18000110983848572,0.18983453512191772,0.39013728499412537
4,0.375,pre_descent_hold,0.375,0.0,0.0,0.0,0.0,0,0.0,299.25634765625,2.1252715587615967,0.009169490076601505,1.1584186553955078,5.70056676864624,4.509729862213135,0.8743793964385986,12.036252975463867,2.012486696243286,1.838822364807129,-0.09568162262439728,-0.24480755627155304,0.0020840084180235863,1.4292876720428467,0.9999978542327881,-0.0021457672119140625,-0.0046637156046926975,2.0707714557647705,-0.05028114467859268,-0.7070062160491943,3.1482115446124226e-05,0.018171193078160286,0.0002983958402182907,0.30211928486824036,5.1266593800392e-05,0.066999152302742,323.4518737792969,-3.626962184906006,0.6059894561767578,1.0494273900985718,-0.18000110983848572,-0.2947598695755005,0.18983453512191772,-0.46843546628952026,0.39013728499412537,0.27829408645629883,0.0,-0.09219713509082794,0.0,-0.008966379798948765,1.0,8.46691608428955,0.0,-1.0150412321090698,0.0,-0.452338308095932,0.0,-0.4575769305229187,0.0,-0.3821747899055481,0.0,-0.09219713509082794,0.9702498912811279,0.6059438586235046,0.1996140033006668,-0.18000096082687378,-0.10485813021659851,0.18984656035900116,0.13726377487182617,0.390137255191803,294.36487991145884,5.635120088541157,2.0053265896607986,299.257066687172,0.8706623021615545,-0.09731934105863238,0.870919349085554,-0.09631230114072968,0.009628569837680978,0.002087754305911904,0.11961951038901668,-0.0046416832008059844,-0.050277841266261954,5.5481917495155134e-05,0.00028043965458339926,7.742692476919515e-05,323.45398284583774,0.6059438586235046,-0.18000096082687378,0.18984656035900116,0.390137255191803
5,0.45,pre_descent_hold,0.45,0.0,0.0,0.0,0.0,0,0.0,299.257080078125,2.125278949737549,0.009628569707274437,1.159482717514038,5.635119915008545,4.452925205230713,0.8706623315811157,11.984820365905762,2.005326509475708,1.8327915668487549,-0.0973193421959877,-0.2508349120616913,0.002087752800434828,1.4305331707000732,0.9999977946281433,-0.002205371856689453,-0.004641683306545019,2.092803716659546,-0.050277840346097946,-0.7060146927833557,5.548191620619036e-05,0.042170993983745575,0.0002804396499413997,0.28416308760643005,7.742692832835019e-05,0.09315948188304901,323.4539794921875,-3.612966299057007,0.6059438586235046,1.0470738410949707,-0.18000096082687378,-0.294610857963562,0.18984656035900116,-0.465373694896698,0.390137255191803,0.27826428413391113,0.0,-0.09219713509082794,0.0,-0.008966379798948765,1.0,8.46691608428955,0.0,-1.0150412321090698,0.0,-0.452338308095932,0.0,-0.4575769305229187,0.0,-0.3821747899055481,0.0,-0.09219713509082794,0.9700967669487,0.6059384346008301,0.19957441091537476,-0.18000106513500214,-0.10407763719558716,0.18985515832901,0.1373177021741867,0.39013731479644775,294.4300463915271,5.569953608472872,1.998042429779562,299.2577937006399,0.8668928734507675,-0.09895664953978608,0.8671539729465277,-0.09795785002886516,0.009721548844037621,0.0020929541068648305,0.11991743703792747,-0.004620972891042517,-0.05027342083371268,6.246563139423585e-05,0.00026323104750388136,8.783918722439507e-05,323.45609493084214,0.6059384346008301,-0.18000106513500214,0.18985515832901,0.39013731479644775
6,0.525,pre_descent_hold,0.525,0.0,0.0,0.0,0.0,0,0.0,299.2577819824219,2.125286102294922,0.009721549227833748,1.159698247909546,5.569953441619873,4.396364212036133,0.8668928742408752,11.932662963867188,1.9980424642562866,1.8266565799713135,-0.0989566519856453,-0.25686073303222656,0.0020929526071995497,1.4322625398635864,0.9999977946281433,-0.002205371856689453,-0.0046209730207920074,2.113513946533203,-0.05027342215180397,-0.7046888470649719,6.24656313448213e-05,0.04915471002459526,0.0002632310497574508,0.2669544816017151,8.783918747212738e-05,0.10357173532247543,323.4560852050781,-3.598970413208008,0.6059384346008301,1.046793818473816,-0.18000106513500214,-0.29471516609191895,0.18985515832901,-0.46318456530570984,0.39013731479644775,0.2783238887786865,0.0,-0.09219713509082794,0.0,-0.008966379798948765,1.0,8.46691608428955,0.0,-1.0150412321090698,0.0,-0.452338308095932,0.0,-0.4575769305229187,0.0,-0.3821747899055481,0.0,-0.09219713509082794,0.9698382019996643,0.6059292554855347,0.1994836926460266,-0.18000128865242004,-0.10352873802185059,0.18986119329929352,0.13738097250461578,0.39013737440109253,294.49492830744725,5.505071692552747,1.99063547201313,299.258521055453,0.8630658109526104,-0.1005868503607219,0.8633302818094066,-0.09958810674297687,0.009656511217955435,0.002098641263125422,0.12024328708909077,-0.004601350284955963,-0.05026863801471479,6.62389288300935e-05,0.00025118244933504635,8.880569136308148e-05,323.45795376731996,0.6059292554855347,-0.18000128865242004,0.18986119329929352,0.39013737440109253
7,0.6,pre_descent_hold,0.6,0.0,0.0,0.0,0.0,0,0.0,299.2585144042969,2.125293731689453,0.00965651124715805,1.1595475673675537,5.505071640014648,4.340049743652344,0.8630658388137817,11.879708290100098,1.9906355142593384,1.8204177618026733,-0.10058685392141342,-0.26286041736602783,0.002098639728501439,1.4341540336608887,0.9999977946281433,-0.002205371856689453,-0.004601350054144859,2.1331369876861572,-0.050268638879060745,-0.7032535076141357,6.62389284116216e-05,0.052928004413843155,0.000251182442298159,0.2549058794975281,8.880568930180743e-05,0.10453824698925018,323.45794677734375,-3.586597204208374,0.6059292554855347,1.0463200807571411,-0.18000128865242004,-0.29493868350982666,0.18986119329929352,-0.46164798736572266,0.39013737440109253,0.2783834934234619,0.0,-0.09219713509082794,0.0,-0.008966379798948765,1.0,8.46691608428955,0.0,-1.0150412321090698,0.0,-0.452338308095932,0.0,-0.4575769305229187,0.0,-0.3821747899055481,0.0,-0.09219713509082794,0.9693840146064758,0.6059131026268005,0.19940149784088135,-0.18000149726867676,-0.10302114486694336,0.1898667812347412,0.137433260679245,0.3901374340057373,294.5595214548627,5.440478545137296,1.983106736606866,299.2592399166165,0.85918506977898,-0.10220907539237473,0.8594524846951554,-0.10120600582176102,0.00949920117703052,0.002104225321055697,0.12056323004105209,-0.004582525651637764,-0.05026355264597822,7.069341458050625e-05,0.00024191347870421574,8.378556602181015e-05,323.45955687015567,0.6059131026268005,-0.18000149726867676,0.1898667812347412,0.3901374340057373
8,0.6749999999999999,pre_descent_hold,0.6749999999999999,0.0,0.0,0.0,0.0,0,0.0,299.2592468261719,2.1253013610839844,0.00949920155107975,1.1591829061508179,5.440478324890137,4.2839860916137695,0.8591850399971008,11.826010704040527,1.9831067323684692,1.814076542854309,-0.10220907628536224,-0.26883071660995483,0.00210422370582819,1.4360110759735107,0.9999977946281433,-0.002205371856689453,-0.004582525696605444,2.151961326599121,-0.050263553857803345,-0.701727569103241,7.069341518217698e-05,0.0573824904859066,0.0002419134834781289,0.2456369251012802,8.378556958632544e-05,0.09951812773942947,323.4595642089844,-3.5758469104766846,0.6059131026268005,1.045486330986023,-0.18000149726867676,-0.2951472997665405,0.1898667812347412,-0.4602252244949341,0.3901374340057373,0.2784430980682373,0.0,-0.09219713509082794,0.0,-0.008966379798948765,1.0,8.46691608428955,0.0,-1.0150412321090698,0.0,-0.452338308095932,0.0,-0.4575769305229187,0.0,-0.3821747899055481,0.0,-0.09219713509082794,0.9689164757728577,0.605896532535553,0.19934383034706116,-0.1800016462802887,-0.10249778628349304,0.18987253308296204,0.13747549057006836,0.3901374638080597,294.6238219637878,5.376178036212195,1.9754570950508086,299.25994414353363,0.8552546801682879,-0.10382323928715678,0.855524661385676,-0.1028127386521643,0.00926846010483202,0.0021093074294031844,0.12085441340039131,-0.004564396455645088,-0.05025811867892259,7.535036250246225e-05,0.00023313453241367288,7.419080811240075e-05,323.460964741872,0.605896532535553,-0.1800016462802887,0.18987253308296204,0.3901374638080597
9,0.7499999999999999,pre_descent_hold,0.7499999999999999,0.0,0.0,0.0,0.0,0,0.0,299.25994873046875,2.1253085136413574,0.009268459863960743,1.1586480140686035,5.37617826461792,4.228177070617676,0.8552547097206116,11.771626472473145,1.9754570722579956,1.8076337575912476,-0.1038232371211052,-0.2747713327407837,0.0021093059331178665,1.4377014636993408,0.9999977946281433,-0.002205371856689453,-0.004564396571367979,2.170090436935425,-0.05025811865925789,-0.7000965476036072,7.535036274930462e-05,0.062039438635110855,0.00023313453129958361,0.23685798048973083,7.419080793624744e-05,0.08992336690425873,323.4609680175781,-3.566516160964966,0.605896532535553,1.044631004333496,-0.1800016462802887,-0.295296311378479,0.18987253308296204,-0.45876073837280273,0.3901374638080597,0.278472900390625,0.0,-0.09219713509082794,0.0,-0.008966379798948765,1.0,8.46691608428955,0.0,-1.0150412321090698,0.0,-0.452338308095932,0.0,-0.4575769305229187,0.0,-0.3821747899055481,0.0,-0.09219713509082794,0.9685553312301636,0.6058837175369263,0.19930532574653625,-0.18000173568725586,-0.1019657552242279,0.18987838923931122,0.13751180469989777,0.39013752341270447,294.68782619234224,5.312173807657757,1.9676873805681003,299.26062875412345,0.8512769290675879,-0.10542873271181069,0.8515491332096906,-0.1044086925732903,0.008978876161222081,0.0021135688513957973,0.12109857489529226,-0.004546977411349743,-0.050252345736233384,7.949903486158513e-05,0.00022402727710332804,6.067369125599234e-05,323.46222626287016,0.6058837175369263,-0.18000173568725586,0.18987838923931122,0.39013752341270447
